48,9,0,94,19,724,65,50,5,1,73,360,118,0,1,24,5,141,48,13,33,34,78,7,78,142,92,47,13,84,4,14,76,24,104,20,469,105,3,0,185,38,52,151,0,18,35,5,87,399,41,5,0,91,128,9,33,0
40,10,0,102,13,770,53,50,3,0,61,320,104,0,0,23,9,135,74,15,36,36,48,9,96,110,77,60,19,82,3,18,59,16,104,17,467,108,5,0,122,35,46,134,1,19,47,5,90,476,30,9,0,102,96,3,32,3
43,6,0,120,20,797,51,37,1,0,99,343,88,0,0,29,15,153,55,21,29,28,46,13,109,128,68,55,13,63,4,19,57,13,101,12,436,92,3,0,126,24,54,129,0,12,30,2,79,334,40,7,0,76,112,9,21,1
25,6,0,69,15,538,50,31,0,0,84,272,59,0,0,24,8,132,33,13,22,21,39,7,89,128,74,34,12,51,0,11,40,18,101,16,360,80,5,0,88,13,46,98,0,7,23,2,58,252,18,7,0,60,98,13,31,1
26,3,0,88,13,499,36,26,5,0,48,222,57,0,1,27,4,105,39,12,31,32,27,13,62,90,58,22,12,42,1,8,36,20,81,9,277,59,2,0,71,15,26,73,0,7,28,0,69,244,18,3,0,55,76,9,16,2
36,3,0,93,17,772,47,48,7,0,90,346,106,0,1,27,5,138,71,23,29,40,51,11,84,161,90,37,7,92,4,15,44,37,112,13,384,117,3,0,106,34,45,131,0,15,46,3,83,397,22,7,0,91,98,8,31,0
31,5,0,111,11,609,46,31,5,0,51,265,101,0,0,28,5,158,46,20,25,32,63,3,67,81,66,43,11,56,1,6,35,24,71,16,338,77,2,0,112,23,42,97,0,6,27,3,67,330,17,7,0,51,88,6,28,2
32,6,0,95,14,581,51,51,1,0,76,317,71,0,1,19,15,129,46,13,19,28,58,8,91,120,67,44,12,59,5,13,43,23,101,15,395,89,3,0,118,36,48,109,0,9,31,3,80,319,22,5,0,65,87,4,30,1
34,3,0,105,17,701,57,41,4,0,96,364,105,0,1,27,10,164,45,15,30,46,47,8,78,114,85,41,14,71,5,18,51,29,133,14,416,121,6,0,115,53,60,132,0,19,22,2,94,386,24,6,0,96,112,7,21,4
35,6,0,85,15,618,52,44,7,0,81,350,83,0,0,22,9,147,64,17,19,35,47,5,97,152,90,52,9,80,4,20,42,13,95,18,467,111,5,0,81,30,56,127,0,15,53,1,74,379,28,10,0,84,111,9,31,2
26,4,0,82,18,582,33,33,5,0,49,282,86,0,0,15,13,129,47,19,21,20,29,2,70,110,73,36,11,52,2,15,35,22,101,11,397,84,5,0,121,28,43,87,0,16,26,3,50,303,29,5,0,62,103,5,21,2
19,3,0,67,11,466,43,44,6,0,55,281,71,0,0,15,10,134,48,16,28,40,41,1,90,99,57,34,15,58,1,12,41,27,80,12,328,82,3,0,84,26,44,80,0,12,17,4,68,285,15,3,0,51,67,6,18,0
27,8,0,92,15,544,39,32,6,0,72,287,88,0,2,26,9,122,37,25,27,39,57,2,101,127,68,35,11,69,3,11,42,23,87,22,352,88,5,0,82,30,43,99,0,14,35,0,79,312,15,2,0,112,102,2,13,3
25,3,0,67,13,474,23,34,4,0,59,208,49,0,0,18,9,120,42,9,15,29,38,6,68,85,58,25,14,56,2,8,39,10,79,13,287,54,2,0,63,16,36,98,0,8,17,3,43,245,30,4,0,63,68,7,19,1
39,9,0,77,19,620,52,32,5,0,71,334,98,0,0,22,9,125,65,20,23,26,49,9,84,122,66,34,11,67,4,14,67,21,94,11,395,80,4,0,109,39,39,117,0,15,29,4,77,329,21,4,0,96,109,12,22,7
34,6,0,72,22,514,34,37,4,0,74,239,88,0,1,17,8,128,49,14,21,29,45,9,79,129,69,44,6,55,6,11,34,10,70,16,355,89,0,0,95,30,25,101,0,7,31,3,56,312,14,4,0,69,97,7,19,0
28,2,0,70,7,471,34,21,1,0,43,246,62,0,0,22,4,102,39,10,24,30,33,5,92,125,64,33,6,43,1,8,32,18,75,6,352,64,2,0,70,29,29,60,0,9,33,3,47,264,20,3,0,64,85,5,10,3
32,6,0,83,21,475,53,39,5,0,62,249,62,0,1,16,10,103,38,14,24,25,43,6,112,93,64,34,11,48,1,4,40,16,102,13,375,84,0,0,89,26,39,93,0,6,24,3,59,278,24,4,0,66,81,6,21,2
20,9,0,78,11,586,38,35,4,0,49,241,74,0,2,14,10,105,30,16,26,30,40,6,94,101,44,38,8,34,1,9,36,16,96,10,344,54,5,0,87,33,33,89,0,8,28,3,64,240,15,2,0,58,86,6,14,2
